=== SVM Results for Chapter Level using TF-IDF ===

Training Accuracy: 0.9097
Validation Accuracy: 0.5947
Test Accuracy: 0.6072

Detailed Test Metrics:
+--------------------------------------------------+
| Category     | Precision    | Recall       | F1-Score     |
| Class 168    | 0.6667       | 0.4286       | 0.5217       |
| Class 169    | 0.5714       | 0.2857       | 0.381        |
| Class 170    | 0.5          | 0.3125       | 0.3846       |
| Class 171    | 0.5769       | 0.3846       | 0.4615       |
| Class 172    | 0.6286       | 0.7586       | 0.6875       |
| Class 173    | 0.5909       | 0.7647       | 0.6667       |
| Class 174    | 0.75         | 0.8276       | 0.7869       |
| Class 175    | 0.6364       | 0.4118       | 0.5          |
| Class 176    | 0.6          | 0.625        | 0.6122       |
| Class 177    | 0.8          | 0.8205       | 0.8101       |
| Class 178    | 0.561        | 0.6571       | 0.6053       |
| Class 179    | 0.6875       | 0.7857       | 0.7333       |
| Class 180    | 0.6667       | 0.72         | 0.6923       |
| Class 181    | 0.7143       | 0.6061       | 0.6557       |
| Class 182    | 0.2647       | 0.5294       | 0.3529       |
| Class 183    | 0.6364       | 0.3182       | 0.4242       |
| Class 184    | 0.7353       | 0.7143       | 0.7246       |
| Class 185    | 1.0          | 0.4          | 0.5714       |
| Class 186    | 0.5714       | 0.4444       | 0.5          |
| Class 187    | 0.7778       | 0.875        | 0.8235       |
| Class 188    | 0.5714       | 0.64         | 0.6038       |
| Class 189    | 0.7619       | 0.8          | 0.7805       |
| Class 190    | 0.6081       | 0.6164       | 0.6122       |
| Class 191    | 0.6667       | 0.4828       | 0.56         |
| Class 192    | 0.7727       | 0.6939       | 0.7312       |
| Class 193    | 0.4762       | 0.5          | 0.4878       |
| Class 194    | 0.9167       | 0.8462       | 0.88         |
| Class 195    | 0.8718       | 0.7727       | 0.8193       |
| Class 196    | 1.0          | 0.2          | 0.3333       |
| Class 197    | 0.6842       | 0.4643       | 0.5532       |
| Class 198    | 1.0          | 0.2          | 0.3333       |
| Class 199    | 0.4839       | 0.625        | 0.5455       |
| Class 200    | 0.1905       | 0.2105       | 0.2          |
| Class 201    | 0.3333       | 0.3333       | 0.3333       |
| Class 202    | 0.4          | 1.0          | 0.5714       |
| Class 203    | 1.0          | 0.6667       | 0.8          |
| Class 204    | 0.4286       | 0.2          | 0.2727       |
| Class 205    | 0.7931       | 0.7931       | 0.7931       |
| Class 206    | 1.0          | 0.7143       | 0.8333       |
| Class 207    | 0.5556       | 0.6452       | 0.597        |
| Class 208    | 0.5625       | 0.3462       | 0.4286       |
| Class 209    | 1.0          | 0.2143       | 0.3529       |
| Class 210    | 0.5          | 0.381        | 0.4324       |
| Class 211    | 0.0          | 0.0          | 0            |
| Class 212    | 0.6286       | 0.6875       | 0.6567       |
| Class 213    | 0.6667       | 0.5          | 0.5714       |
| Class 214    | 0.4375       | 0.4375       | 0.4375       |
| Class 215    | 0.5769       | 0.4286       | 0.4918       |
| Class 216    | 1.0          | 0.1579       | 0.2727       |
| Class 217    | 0.566        | 0.5882       | 0.5769       |
| Class 218    | 0.5797       | 0.597        | 0.5882       |
| Class 219    | 0            | 0.0          | 0            |
| Class 220    | 0.6667       | 0.5263       | 0.5882       |
| Class 221    | 0.65         | 0.7647       | 0.7027       |
| Class 222    | 0.5556       | 0.625        | 0.5882       |
| Class 223    | 0.5714       | 0.2857       | 0.381        |
| Class 224    | 0.25         | 0.1111       | 0.1538       |
| Class 225    | 0.7143       | 0.4688       | 0.566        |
| Class 226    | 0.3333       | 0.6          | 0.4286       |
| Class 227    | 0.6393       | 0.619        | 0.629        |
| Class 228    | 0.6          | 0.375        | 0.4615       |
| Class 229    | 0.5294       | 0.3462       | 0.4186       |
| Class 230    | 0.64         | 0.6957       | 0.6667       |
| Class 231    | 0.3571       | 0.3846       | 0.3704       |
| Class 232    | 0.6486       | 0.7059       | 0.6761       |
| Class 233    | 0.5714       | 0.3077       | 0.4          |
| Class 234    | 0.5556       | 0.2778       | 0.3704       |
| Class 235    | 0.5625       | 0.5806       | 0.5714       |
| Class 236    | 0.6667       | 0.6          | 0.6316       |
| Class 237    | 0.4878       | 0.7143       | 0.5797       |
| Class 238    | 0.7391       | 0.8226       | 0.7786       |
| Class 239    | 0.25         | 0.2778       | 0.2632       |
| Class 240    | 0.5455       | 0.7059       | 0.6154       |
| Class 241    | 0.8          | 0.5          | 0.6154       |
| Class 242    | 0.7255       | 0.7255       | 0.7255       |
| Class 243    | 0.2857       | 0.1111       | 0.16         |
| Class 245    | 1.0          | 0.8621       | 0.9259       |
| Class 247    | 0.4444       | 0.5714       | 0.5          |
| Class 248    | 0.6923       | 0.5          | 0.5806       |
| Class 249    | 0.25         | 0.3077       | 0.2759       |
| Class 250    | 0.625        | 0.5556       | 0.5882       |
| Class 251    | 0.7143       | 0.3333       | 0.4545       |
| Class 252    | 0.6333       | 0.7917       | 0.7037       |
| Class 253    | 0.4          | 0.2222       | 0.2857       |
| Class 254    | 0.8          | 0.3077       | 0.4444       |
| Class 255    | 0.8108       | 0.7317       | 0.7692       |
| Class 256    | 0.25         | 0.3333       | 0.2857       |
| Class 257    | 0.875        | 0.8485       | 0.8615       |
| Class 258    | 0.8235       | 0.5385       | 0.6512       |
| Class 259    | 0.5263       | 0.625        | 0.5714       |
| Class 260    | 0.8          | 0.8889       | 0.8421       |
| Class 261    | 0.8          | 0.4          | 0.5333       |
| Class 262    | 0.5          | 0.0909       | 0.1538       |
| Class 263    | 0.25         | 1.0          | 0.4          |
| Class 264    | 0.5833       | 0.5833       | 0.5833       |
| Class 265    | 0.5          | 0.6          | 0.5455       |
| Class 266    | 0.6667       | 0.25         | 0.3636       |
| Class 267    | 0.6          | 0.375        | 0.4615       |
