=== SVM Results for Chapter Level using BoW ===

Training Accuracy: 0.8982
Validation Accuracy: 0.5218
Test Accuracy: 0.5226

Detailed Test Metrics:
+--------------------------------------------------+
| Category     | Precision    | Recall       | F1-Score     |
| Class 252    | 0.5161       | 0.6667       | 0.5818       |
| Class 253    | 0            | 0.0          | 0            |
| Class 254    | 0.6667       | 0.1538       | 0.25         |
| Class 255    | 0.7297       | 0.6585       | 0.6923       |
| Class 256    | 0.0          | 0.0          | 0            |
| Class 257    | 0.7297       | 0.8182       | 0.7714       |
| Class 258    | 0.8333       | 0.3846       | 0.5263       |
| Class 259    | 0.2941       | 0.3125       | 0.303        |
| Class 260    | 0.7778       | 0.7778       | 0.7778       |
| Class 261    | 1.0          | 0.4          | 0.5714       |
| Class 262    | 0            | 0.0          | 0            |
| Class 263    | 0.2          | 0.5          | 0.2857       |
| Class 264    | 0.8333       | 0.4167       | 0.5556       |
| Class 265    | 0.6667       | 0.4          | 0.5          |
| Class 266    | 1.0          | 0.125        | 0.2222       |
| Class 267    | 0.4286       | 0.375        | 0.4          |
| Class 268    | 0.6          | 0.6          | 0.6          |
| Class 269    | 0.3125       | 0.625        | 0.4167       |
| Class 270    | 0            | 0.0          | 0            |
| Class 271    | 1.0          | 0.3333       | 0.5          |
| Class 272    | 0.4545       | 0.4167       | 0.4348       |
| Class 273    | 0.7619       | 0.5333       | 0.6275       |
| Class 274    | 0.5          | 0.2          | 0.2857       |
| Class 275    | 0.0          | 0.0          | 0            |
| Class 276    | 0.7234       | 0.7907       | 0.7556       |
| Class 277    | 0.4          | 0.2222       | 0.2857       |
| Class 278    | 0.0          | 0.0          | 0            |
| Class 279    | 0.4444       | 0.5          | 0.4706       |
| Class 280    | 0            | 0.0          | 0            |
| Class 281    | 0            | 0.0          | 0            |
| Class 282    | 0.8          | 0.3636       | 0.5          |
| Class 283    | 0            | 0.0          | 0            |
| Class 284    | 0.375        | 0.6          | 0.4615       |
| Class 285    | 0.6897       | 0.5714       | 0.625        |
| Class 286    | 0            | 0.0          | 0            |
| Class 287    | 0.3333       | 0.0909       | 0.1429       |
| Class 288    | 0            | 0.0          | 0            |
| Class 289    | 0.5938       | 0.4634       | 0.5205       |
| Class 290    | 0            | 0.0          | 0            |
| Class 291    | 0.3636       | 0.5714       | 0.4444       |
| Class 292    | 0.0          | 0.0          | 0            |
| Class 293    | 0.7857       | 0.5          | 0.6111       |
| Class 295    | 0.5          | 0.0588       | 0.1053       |
| Class 296    | 0.8333       | 0.4545       | 0.5882       |
| Class 297    | 0            | 0.0          | 0            |
| Class 298    | 0            | 0.0          | 0            |
| Class 299    | 0.3333       | 0.3          | 0.3158       |
| Class 300    | 0.8333       | 0.625        | 0.7143       |
| Class 301    | 0.4615       | 0.3158       | 0.375        |
| Class 302    | 0.5          | 0.3077       | 0.381        |
| Class 303    | 0            | 0.0          | 0            |
| Class 304    | 0.75         | 0.375        | 0.5          |
| Class 305    | 0            | 0.0          | 0            |
| Class 306    | 0.3333       | 0.1          | 0.1538       |
